Chr	Band	coef
X	0	0.00
X	1	0.00
X	2	0.04
X	3	0.02
X	4	0.07
X	5	0.04
X	6	0.12
X	7	0.04
X	8	0.14
X	9	0.11
X	10	0.02
X	11	0.02
X	12	0.07
X	13	0.04
X	14	0.07
X	15	0.04
X	16	0.02
X	17	0.04
X	18	0.04
X	19	0.09
X	20	0.02
X	21	0.00
X	22	0.00
X	23	0.00
2L	0	0.00
2L	1	0.05
2L	2	0.11
2L	3	0.05
2L	4	0.04
2L	5	0.09
2L	6	0.07
2L	7	0.14
2L	8	0.05
2L	9	0.07
2L	10	0.11
2L	11	0.02
2L	12	0.04
2L	13	0.02
2L	14	0.04
2L	15	0.00
2L	16	0.05
2L	17	0.02
2L	18	0.02
2L	19	0.02
2L	20	0.00
2L	21	0.02
2L	22	0.00
2L	23	0.00
2R	0	0.00
2R	1	0.00
2R	2	0.00
2R	3	0.00
2R	4	0.00
2R	5	0.00
2R	6	0.00
2R	7	0.04
2R	8	0.00
2R	9	0.00
2R	10	0.04
2R	11	0.09
2R	12	0.02
2R	13	0.15
2R	14	0.07
2R	15	0.04
2R	16	0.09
2R	17	0.00
2R	18	0.11
2R	19	0.11
2R	20	0.07
2R	21	0.04
2R	22	0.02
2R	23	0.09
2R	24	0.02
2R	25	0.00
3L	0	0.00
3L	1	0.09
3L	2	0.03
3L	3	0.05
3L	4	0.14
3L	5	0.05
3L	6	0.02
3L	7	0.07
3L	8	0.14
3L	9	0.07
3L	10	0.03
3L	11	0.02
3L	12	0.09
3L	13	0.02
3L	14	0.03
3L	15	0.02
3L	16	0.10
3L	17	0.03
3L	18	0.00
3L	19	0.00
3L	20	0.00
3L	21	0.00
3L	22	0.00
3L	23	0.00
3L	24	0.00
3L	25	0.00
3L	26	0.00
3L	27	0.00
3L	28	0.00
3R	0	0.00
3R	1	0.00
3R	2	0.00
3R	3	0.00
3R	4	0.00
3R	5	0.00
3R	6	0.00
3R	7	0.00
3R	8	0.00
3R	9	0.00
3R	10	0.02
3R	11	0.00
3R	12	0.00
3R	13	0.07
3R	14	0.07
3R	15	0.00
3R	16	0.02
3R	17	0.04
3R	18	0.17
3R	19	0.04
3R	20	0.00
3R	21	0.04
3R	22	0.24
3R	23	0.04
3R	24	0.02
3R	25	0.02
3R	26	0.00
3R	27	0.02
3R	28	0.09
3R	29	0.07
3R	30	0.02
3R	31	0.00
3R	32	0.00
