Chr	Band	coef
X	1	0.00
X	2	0.00
X	3	0.05
X	4	0.12
X	5	0.03
X	6	0.14
X	7	0.09
X	8	0.12
X	9	0.03
X	10	0.03
X	11	0.08
X	12	0.09
X	13	0.04
X	14	0.04
X	15	0.00
X	16	0.03
X	17	0.03
X	18	0.09
X	19	0.03
X	20	0.00
2L	21	0.04
2L	22	0.09
2L	23	0.09
2L	24	0.05
2L	25	0.09
2L	26	0.03
2L	27	0.04
2L	28	0.10
2L	29	0.02
2L	30	0.05
2L	31	0.12
2L	32	0.03
2L	33	0.02
2L	34	0.02
2L	35	0.04
2L	36	0.05
2L	37	0.03
2L	38	0.04
2L	39	0.01
2L	40	0.00
2R	41	0.00
2R	42	0.01
2R	43	0.03
2R	44	0.01
2R	45	0.00
2R	46	0.00
2R	47	0.13
2R	48	0.06
2R	49	0.04
2R	50	0.09
2R	51	0.06
2R	52	0.04
2R	53	0.07
2R	54	0.01
2R	55	0.09
2R	56	0.10
2R	57	0.09
2R	58	0.01
2R	59	0.07
2R	60	0.04
3L	61	0.01
3L	62	0.10
3L	63	0.07
3L	64	0.15
3L	65	0.06
3L	66	0.10
3L	67	0.12
3L	68	0.09
3L	69	0.01
3L	70	0.05
3L	71	0.01
3L	72	0.03
3L	73	0.08
3L	74	0.01
3L	75	0.02
3L	76	0.01
3L	77	0.02
3L	78	0.01
3L	79	0.02
3L	80	0.00
3R	81	0.00
3R	82	0.00
3R	83	0.05
3R	84	0.03
3R	85	0.05
3R	86	0.04
3R	87	0.01
3R	88	0.08
3R	89	0.04
3R	90	0.06
3R	91	0.08
3R	92	0.06
3R	93	0.06
3R	94	0.17
3R	95	0.03
3R	96	0.05
3R	97	0.01
3R	98	0.10
3R	99	0.06
3R	100	0.00
