chr	pos
chrX	14662331
chrX	6614312
chrX	2043568
chrX	6932189
chrX	3552719
chrX	3668724
chrX	269345
chrX	2374819
chrX	5526306
chrX	9519950
chrX	2411200
chrX	11495155
chrX	1735614
chrX	7904775
chrX	2903972
chrX	1940096
chrX	475018
chrX	7298949
chrX	9889888
chrX	6084205
chrX	1399542
chrX	12190004
chrX	6544148
chrX	8356142
chrX	4230013
chrX	1772550
chrX	11134154
chrX	3604764
chrX	1145947
chrX	3434785
chrX	1187966
chrX	10442171
chrX	11464163
chrX	11451503
chrX	12128484
chrX	10961570
chrX	1914666
chrX	2189333
chrX	7350762
chrX	2922723
chrX	10293430
chrX	475018
chrX	2023905
chrX	2651627
chrX	4124750
chrX	10631070
chrX	4720953
chrX	6693492
chrX	4836198
chrX	5696206
chrX	11228143
chrX	11930021
chrX	1089388
chrX	4702946
chrX	14225568
chrX	6057403
chrX	6626340
chrX	3975708
chrX	4608445
chrX	9928558
chrX	5848893
chrX	7923757
chrX	133933
chrX	11505074
chrX	1381259
chrX	209817
chrX	5391283
chrX	2560083
chrX	2733880
chrX	5364896
chrX	14083167
chrX	8819307
chrX	11715965
chrX	593577
chrX	6081763
chrX	13286774
chrX	9992903
chrX	6030501
chrX	2962896
chrX	1579519
chrX	4334741
chrX	8781572
chrX	10280287
chrX	12488510
chrX	2066022
chrX	12595761
chrX	2437499
chrX	3127476
chrX	10419267
chrX	1167909
chrX	3152315
chrX	8888504
chrX	5299022
chrX	10974435
chrX	1419439
chrX	1188881
chrX	2341743
chrX	14193389
chrX	2676451
chrX	1181993
chrX	2869887
chrX	8280864
chrX	7926223
chrX	3022430
chrX	10841709
chrX	8596379
chrX	8971563
chrX	6993718
chrX	2237734
chrX	480809
chrX	332491
chrX	792480
chrX	473100
chrX	1486077
chrX	1562919
chrX	13728802
chrX	11105050
chrX	1595980
chrX	3332121
chrX	7434769
chrX	4820609
chrX	6363304
chrX	4452462
chrX	3843002
chrX	1889342
chrX	7340218
chrX	4806381
chrX	9298274
chrX	13319126
chrX	5698417
chrX	11764587
chrX	2299820
chrX	9978768
chrX	6148959
chrX	1948246
chrX	6660598
chrX	12174493
chrX	6170798
chrX	4076227
chrX	4693715
chrX	5746819
chrX	6485463
chrX	1779384
chrX	9629762
chrX	15298838
chrX	2630350
chrX	7236968
chrX	4749055
chrX	878679
chrX	5612886
chrX	15936994
chrX	6440983
chrX	14069371
chrX	13537866
chrX	966696
chrX	1052268
chrX	9290763
chrX	2343598
chrX	15898034
chrX	1490149
chrX	3805178
chrX	2422927
chrX	2641667
chrX	9099560
chrX	1860496
chrX	9752785
chrX	2519812
chrX	1188881
chrX	7331727
chrX	636507
chrX	2712064
chrX	7402867
chrX	8591528
chrX	2066022
chrX	7905854
chrX	311435
chrX	6332572
chrX	7520732
chrX	4259348
chrX	2483311
chrX	8947814
chrX	7323495
chrX	42930
chrX	2052231
chrX	6639136
chrX	1736937
chrX	3111997
chrX	2484047
chrX	59396
chrX	582452
chrX	4848508
chrX	10656516
chrX	4169257
chrX	8967075
chrX	1033506
chrX	5010704
chrX	9416484
chrX	11356580
chrX	2917915
chrX	1081651
chrX	349847
chrX	6485463
chrX	354641
chrX	4021561
chrX	7227058
chrX	612250
chrX	9036801
chrX	6926471
chrX	8709453
chrX	599250
chrX	5145034
chrX	13660300
chrX	182749
chrX	3906991
chrX	105831
chrX	2699744
chrX	361804
chrX	5703494
chrX	7380324
chrX	840187
chrX	9660494
chrX	5423018
chrX	8373005
chrX	7131962
chrX	9295033
chrX	582452
chrX	183980
chrX	9971257
chrX	1525101
chrX	12165084
chrX	2129406
chrX	3870376
chrX	2106055
chrX	11446924
chrX	6574034
chrX	7926223
chrX	2704881
chrX	5369908
chrX	1545086
chrX	395245
chrX	10931057
chrX	3577544
chrX	13560488
chrX	4168124
chrX	11152327
chrX	813962
chrX	2237734
chrX	4633922
chrX	172870
chrX	11270278
chrX	3108005
chrX	3110371
chrX	4118567
chrX	205800
chrX	8549774
chrX	11364761
chrX	659813
chrX	5737565
chrX	1419439
chrX	3258707
chrX	6261243
chrX	3392724
chrX	12884515
chrX	7761243
chrX	835410
chrX	2918544
chrX	6543318
chrX	1256013
chrX	5103910
chrX	7020669
chrX	2431253
chrX	10517989
chrX	2359077
chrX	7513333
chrX	15887823
chrX	4282452
chrX	10235657
chrX	5253023
chrX	4937443
chrX	5193492
chrX	1877312
chrX	3171218
chrX	5239777
chrX	1506550
chrX	9279744
chrX	4590270
chrX	13790898
chrX	30732
chrX	10501050
chrX	769560
chrX	2060137
chrX	1491325
chrX	1754568
chrX	2524112
chrX	7294906
chrX	5729179
chrX	612250
chrX	4300390
chrX	13618587
chrX	8451042
chrX	1579519
chrX	13773604
chrX	8781886
chrX	4879024
chrX	6574034
chrX	11495155
chrX	1685210
chrX	1587173
chrX	9073763
chrX	3833829
chrX	6416541
chrX	2967332
chrX	4589376
chrX	4204752
chrX	2816577
chrX	5509361
chrX	2617868
chrX	10084812
chrX	3348749
chrX	2036991
chrX	2548859
chrX	5693539
chrX	2578908
chrX	9267276
chrX	15573356
chrX	7063236
chrX	204209
chrX	7475750
chrX	7087525
chrX	5739225
chrX	8759282
chrX	2315474
chrX	4217014
chrX	8013515
chrX	15898034
chrX	418406
chrX	2760492
chrX	2228380
chrX	3792767
chrX	1577365
chrX	8126340
chrX	10990451
chrX	3444666
chrX	6488686
chrX	11029304
chrX	2757070
chrX	6057403
chrX	5640988
chrX	358986
chrX	14083540
chrX	11049847
chrX	12492441
chrX	719000
chrX	677717
chrX	5640988
chrX	3964857
chrX	5323100
chrX	6404305
chrX	2331860
chrX	6029407
chrX	2641708
chrX	1446343
chrX	723458
chrX	4109193
chrX	9467238
chrX	42775
chrX	9861881
chrX	650265
chrX	2546957
chrX	3998901
chrX	2924402
chrX	111380
chrX	4111818
chrX	8230935
chrX	3919033
chrX	7323402
chrX	4577321
chrX	1385695
chrX	827391
chrX	2724998
chrX	3576687
chrX	190561
chrX	3025203
chrX	5319216
chrX	6729341
chrX	4111818
chrX	6054019
chrX	8514130
chrX	4444409
chrX	14827276
chrX	1916759
chrX	3215407
chrX	6152972
chrX	1764311
chrX	14427792
chrX	2489562
chrX	7438274
chrX	7302265
chrX	9650305
chrX	3933645
chrX	1248246
chrX	5329553
chrX	15936994
chrX	9964361
chrX	8514130
chrX	4627756
chrX	3591260
chrX	256494
chrX	2266361
chrX	723458
chrX	13744523
chrX	1224781
chrX	4611199
chrX	9995974
chrX	1940096
chrX	4690515
chrX	4646426
chrX	5369908
chrX	205851
chrX	4851294
chrX	3536514
chrX	9867533
chrX	4284763
chrX	4171676
chrX	6506784
chrX	633655
chrX	7743980
chrX	4917291
chrX	5373255
chrX	2437499
chrX	2476688
chrX	9799525
chrX	7368207
chrX	6217501
chrX	7584883
chrX	14083167
chrX	6818052
chrX	874263
chrX	12095480
chrX	2206800
chrX	8001149
chrX	2291173
chrX	2676451
chrX	2356396
chrX	12072787
chrX	13009843
chrX	2450971
chrX	1045023
chrX	6062341
chrX	13475107
chrX	140534
chrX	8107067
chrX	4494576
chrX	9320177
chrX	5005910
chrX	9793237
chrX	1477041
chrX	4113279
chrX	471364
chrX	4444097
chrX	8354533
chrX	4033034
chrX	14744114
chrX	164038
chrX	1427048
chrX	8841134
chrX	1181486
chrX	9300970
chrX	2091423
chrX	6926471
chrX	1801419
chrX	7381433
chrX	1764784
chrX	2150533
chrX	4925216
chrX	3164085
chrX	566174
chrX	6663698
chrX	3962685
chrX	671878
chrX	1023434
chrX	5896317
chrX	5544111
chrX	4895198
chrX	4302379
chrX	11751323
chrX	9578711
chrX	7306544
chrX	11019318
chrX	12346482
chrX	4352520
chrX	3604764
chrX	3110371
chrX	7527142
chrX	9171827
chrX	2804373
chrX	1701918
chrX	13247757
chrX	2013698
chrX	5329553
chrX	11764587
chrX	4633922
chrX	10631070
chrX	5255140
chrX	6560789
chrX	900071
chrX	3463014
chrX	2522587
chrX	5095600
chrX	4289634
chrX	1154976
chrX	602386
chrX	10050506
chrX	4388661
chrX	665080
chrX	1889342
chrX	10828577
chrX	26903
chrX	9421508
chrX	1688566
chrX	6927753
chrX	8463107
chrX	871288
chrX	2060137
chrX	3534806
chrX	881160
chrX	1658266
chrX	4343807
chrX	8373005
chrX	3951223
chrX	826162
chrX	14427792
chrX	3073144
chrX	7873475
chrX	1827456
chrX	3258337
chrX	26387
chrX	8116281
chrX	2967332
chrX	123023
chrX	7062382
chrX	1460333
chrX	10195776
chrX	2150819
chrX	623551
chrX	2933456
