Chr	Position	COEF
chrX	1000000	4
chrX	1500000	4
chrX	2000000	4
chrX	2500000	8
chrX	3000000	10
chrX	3500000	12
chrX	4000000	8
chrX	4500000	6
chrX	5000000	6
chrX	5500000	4
chrX	6000000	2
chrX	6500000	2
chrX	7000000	2
chrX	7500000	4
chrX	8000000	4
chrX	8500000	4
chrX	9000000	10
chrX	9500000	6
chrX	10000000	8
chrX	10500000	8
chrX	11000000	6
chrX	11500000	8
chrX	12000000	6
chrX	12500000	4
chrX	13000000	0
chrX	13500000	6
chrX	14000000	8
chrX	14500000	6
chrX	15000000	6
chrX	15500000	2
chrX	16000000	4
chrX	16500000	10
chrX	17000000	6
chrX	17500000	2
chrX	18000000	6
chrX	18500000	8
chrX	19000000	10
chrX	19500000	10
chrX	20000000	10
chrX	20500000	14
chrX	21000000	10
chrX	21500000	6
chrX	22000000	4
chrX	22500000	0
chrX	23000000	4
chrX	23500000	4
chr2R	1000000	0
chr2R	1500000	0
chr2R	2000000	0
chr2R	2500000	0
chr2R	3000000	0
chr2R	3500000	0
chr2R	4000000	0
chr2R	4500000	0
chr2R	5000000	0
chr2R	5500000	0
chr2R	6000000	0
chr2R	6500000	0
chr2R	7000000	0
chr2R	7500000	0
chr2R	8000000	0
chr2R	8500000	2
chr2R	9000000	4
chr2R	9500000	6
chr2R	10000000	4
chr2R	10500000	0
chr2R	11000000	2
chr2R	11500000	6
chr2R	12000000	6
chr2R	12500000	4
chr2R	13000000	6
chr2R	13500000	4
chr2R	14000000	4
chr2R	14500000	6
chr2R	15000000	4
chr2R	15500000	2
chr2R	16000000	2
chr2R	16500000	2
chr2R	17000000	2
chr2R	17500000	2
chr2R	18000000	0
chr2R	18500000	2
chr2R	19000000	2
chr2R	19500000	4
chr2R	20000000	6
chr2R	20500000	4
chr2R	21000000	10
chr2R	21500000	12
chr2R	22000000	8
chr2R	22500000	6
chr2R	23000000	2
chr2R	23500000	0
chr2R	24000000	4
chr2R	24500000	6
chr2R	25000000	2
chr2L	1000000	2
chr2L	1500000	2
chr2L	2000000	2
chr2L	2500000	2
chr2L	3000000	0
chr2L	3500000	8
chr2L	4000000	8
chr2L	4500000	0
chr2L	5000000	0
chr2L	5500000	4
chr2L	6000000	6
chr2L	6500000	4
chr2L	7000000	8
chr2L	7500000	8
chr2L	8000000	2
chr2L	8500000	4
chr2L	9000000	4
chr2L	9500000	2
chr2L	10000000	6
chr2L	10500000	12
chr2L	11000000	10
chr2L	11500000	2
chr2L	12000000	2
chr2L	12500000	4
chr2L	13000000	4
chr2L	13500000	4
chr2L	14000000	6
chr2L	14500000	6
chr2L	15000000	2
chr2L	15500000	2
chr2L	16000000	2
chr2L	16500000	2
chr2L	17000000	4
chr2L	17500000	2
chr2L	18000000	0
chr2L	18500000	0
chr2L	19000000	2
chr2L	19500000	4
chr2L	20000000	6
chr2L	20500000	4
chr2L	21000000	0
chr2L	21500000	0
chr2L	22000000	0
chr2L	22500000	0
chr2L	23000000	0
chr2L	23500000	0
