Chr	Band	coef	cond
X	1	0.00	congc
X	2	0.00	congc
X	3	0.05	congc
X	4	0.12	congc
X	5	0.03	congc
X	6	0.14	congc
X	7	0.09	congc
X	8	0.12	congc
X	9	0.03	congc
X	10	0.03	congc
X	11	0.08	congc
X	12	0.09	congc
X	13	0.04	congc
X	14	0.04	congc
X	15	0.00	congc
X	16	0.03	congc
X	17	0.03	congc
X	18	0.09	congc
X	19	0.03	congc
X	20	0.00	congc
2L	21	0.04	congc
2L	22	0.09	congc
2L	23	0.09	congc
2L	24	0.05	congc
2L	25	0.09	congc
2L	26	0.03	congc
2L	27	0.04	congc
2L	28	0.10	congc
2L	29	0.02	congc
2L	30	0.05	congc
2L	31	0.12	congc
2L	32	0.03	congc
2L	33	0.02	congc
2L	34	0.02	congc
2L	35	0.04	congc
2L	36	0.05	congc
2L	37	0.03	congc
2L	38	0.04	congc
2L	39	0.01	congc
2L	40	0.00	congc
2R	41	0.00	congc
2R	42	0.01	congc
2R	43	0.03	congc
2R	44	0.01	congc
2R	45	0.00	congc
2R	46	0.00	congc
2R	47	0.13	congc
2R	48	0.06	congc
2R	49	0.04	congc
2R	50	0.09	congc
2R	51	0.06	congc
2R	52	0.04	congc
2R	53	0.07	congc
2R	54	0.01	congc
2R	55	0.09	congc
2R	56	0.10	congc
2R	57	0.09	congc
2R	58	0.01	congc
2R	59	0.07	congc
2R	60	0.04	congc
3L	61	0.01	congc
3L	62	0.10	congc
3L	63	0.07	congc
3L	64	0.15	congc
3L	65	0.06	congc
3L	66	0.10	congc
3L	67	0.12	congc
3L	68	0.09	congc
3L	69	0.01	congc
3L	70	0.05	congc
3L	71	0.01	congc
3L	72	0.03	congc
3L	73	0.08	congc
3L	74	0.01	congc
3L	75	0.02	congc
3L	76	0.01	congc
3L	77	0.02	congc
3L	78	0.01	congc
3L	79	0.02	congc
3L	80	0.00	congc
3R	81	0.00	congc
3R	82	0.00	congc
3R	83	0.05	congc
3R	84	0.03	congc
3R	85	0.05	congc
3R	86	0.04	congc
3R	87	0.01	congc
3R	88	0.08	congc
3R	89	0.04	congc
3R	90	0.06	congc
3R	91	0.08	congc
3R	92	0.06	congc
3R	93	0.06	congc
3R	94	0.17	congc
3R	95	0.03	congc
3R	96	0.05	congc
3R	97	0.01	congc
3R	98	0.10	congc
3R	99	0.06	congc
3R	100	0.00	congc
X	1	0.00	co
X	2	0.00	co
X	3	0.05	co
X	4	0.09	co
X	5	0.04	co
X	6	0.12	co
X	7	0.12	co
X	8	0.14	co
X	9	0.02	co
X	10	0.02	co
X	11	0.07	co
X	12	0.09	co
X	13	0.05	co
X	14	0.02	co
X	15	0.00	co
X	16	0.04	co
X	17	0.04	co
X	18	0.09	co
X	19	0.02	co
X	20	0.00	co
2L	21	0.02	co
2L	22	0.05	co
2L	23	0.11	co
2L	24	0.04	co
2L	25	0.12	co
2L	26	0.05	co
2L	27	0.07	co
2L	28	0.12	co
2L	29	0.02	co
2L	30	0.07	co
2L	31	0.11	co
2L	32	0.02	co
2L	33	0.04	co
2L	34	0.02	co
2L	35	0.07	co
2L	36	0.04	co
2L	37	0.02	co
2L	38	0.02	co
2L	39	0.02	co
2L	40	0.00	co
2R	41	0.00	co
2R	42	0.00	co
2R	43	0.04	co
2R	44	0.00	co
2R	45	0.00	co
2R	46	0.00	co
2R	47	0.07	co
2R	48	0.07	co
2R	49	0.07	co
2R	50	0.13	co
2R	51	0.09	co
2R	52	0.00	co
2R	53	0.09	co
2R	54	0.00	co
2R	55	0.11	co
2R	56	0.11	co
2R	57	0.11	co
2R	58	0.02	co
2R	59	0.07	co
2R	60	0.04	co
3L	61	0.02	co
3L	62	0.10	co
3L	63	0.05	co
3L	64	0.19	co
3L	65	0.07	co
3L	66	0.16	co
3L	67	0.10	co
3L	68	0.09	co
3L	69	0.02	co
3L	70	0.05	co
3L	71	0.02	co
3L	72	0.03	co
3L	73	0.09	co
3L	74	0.02	co
3L	75	0.00	co
3L	76	0.00	co
3L	77	0.00	co
3L	78	0.00	co
3L	79	0.00	co
3L	80	0.00	co
3R	81	0.00	co
3R	82	0.00	co
3R	83	0.00	co
3R	84	0.00	co
3R	85	0.00	co
3R	86	0.02	co
3R	87	0.02	co
3R	88	0.11	co
3R	89	0.04	co
3R	90	0.11	co
3R	91	0.11	co
3R	92	0.02	co
3R	93	0.04	co
3R	94	0.26	co
3R	95	0.02	co
3R	96	0.04	co
3R	97	0.00	co
3R	98	0.11	co
3R	99	0.09	co
3R	100	0.00	co
