Chr	Position	COEF
chr2L	0	0.01
chr2L	1	0.03
chr2L	2	0.10
chr2L	3	0.09
chr2L	4	0.04
chr2L	5	0.07
chr2L	6	0.06
chr2L	7	0.09
chr2L	8	0.04
chr2L	9	0.07
chr2L	10	0.11
chr2L	11	0.02
chr2L	12	0.04
chr2L	13	0.05
chr2L	14	0.02
chr2L	15	0.04
chr2L	16	0.05
chr2L	17	0.01
chr2L	18	0.02
chr2L	19	0.03
chr2L	20	0.01
chr2L	21	0.02
chr2L	22	0.00
chr2L	23	0.00
chr2L	24	0.00
chr3R	0	0.00
chr3R	1	0.00
chr3R	2	0.00
chr3R	3	0.00
chr3R	4	0.00
chr3R	5	0.00
chr3R	6	0.01
chr3R	7	0.00
chr3R	8	0.01
chr3R	9	0.00
chr3R	10	0.01
chr3R	11	0.01
chr3R	12	0.02
chr3R	13	0.04
chr3R	14	0.07
chr3R	15	0.03
chr3R	16	0.02
chr3R	17	0.08
chr3R	18	0.11
chr3R	19	0.05
chr3R	20	0.03
chr3R	21	0.05
chr3R	22	0.15
chr3R	23	0.05
chr3R	24	0.04
chr3R	25	0.05
chr3R	26	0.01
chr3R	27	0.04
chr3R	28	0.06
chr3R	29	0.06
chr3R	30	0.04
chr3R	31	0.01
chr3R	32	0.00
chr3R	33	0.00
chr3L	0	0.03
chr3L	1	0.10
chr3L	2	0.05
chr3L	3	0.03
chr3L	4	0.11
chr3L	5	0.03
chr3L	6	0.03
chr3L	7	0.06
chr3L	8	0.10
chr3L	9	0.06
chr3L	10	0.04
chr3L	11	0.07
chr3L	12	0.07
chr3L	13	0.03
chr3L	14	0.02
chr3L	15	0.01
chr3L	16	0.09
chr3L	17	0.03
chr3L	18	0.03
chr3L	19	0.02
chr3L	20	0.01
chr3L	21	0.00
chr3L	22	0.01
chr3L	23	0.00
chr3L	24	0.00
chr3L	25	0.00
chr3L	26	0.00
chr3L	27	0.00
chrX	0	0.00
chrX	1	0.00
chrX	2	0.02
chrX	3	0.03
chrX	4	0.07
chrX	5	0.06
chrX	6	0.08
chrX	7	0.04
chrX	8	0.10
chrX	9	0.11
chrX	10	0.04
chrX	11	0.05
chrX	12	0.04
chrX	13	0.05
chrX	14	0.05
chrX	15	0.08
chrX	16	0.04
chrX	17	0.03
chrX	18	0.03
chrX	19	0.06
chrX	20	0.02
chrX	21	0.01
chrX	22	0.00
chrX	23	0.00
chrX	24	0.00
chr2R	0	0.00
chr2R	1	0.00
chr2R	2	0.00
chr2R	3	0.00
chr2R	4	0.00
chr2R	5	0.00
chr2R	6	0.00
chr2R	7	0.02
chr2R	8	0.01
chr2R	9	0.03
chr2R	10	0.06
chr2R	11	0.06
chr2R	12	0.03
chr2R	13	0.08
chr2R	14	0.09
chr2R	15	0.04
chr2R	16	0.06
chr2R	17	0.01
chr2R	18	0.09
chr2R	19	0.13
chr2R	20	0.04
chr2R	21	0.06
chr2R	22	0.08
chr2R	23	0.09
chr2R	24	0.02
chr2R	25	0.00
chr2R	26	0.00
