type	sample	Chr	Position	COEF
wt	balancers	chr2L	1000000	1
wt	balancers	chr2L	1500000	3
wt	balancers	chr2L	2000000	3
wt	balancers	chr2L	2500000	2
wt	balancers	chr2L	3000000	2
wt	balancers	chr2L	3500000	3
wt	balancers	chr2L	4000000	2
wt	balancers	chr2L	4500000	2
wt	balancers	chr2L	5000000	2
wt	balancers	chr2L	5500000	1
wt	balancers	chr2L	6000000	1
wt	balancers	chr2L	6500000	1
wt	balancers	chr2L	7000000	1
wt	balancers	chr2L	7500000	1
wt	balancers	chr2L	8000000	2
wt	balancers	chr2L	8500000	1
wt	balancers	chr2L	9000000	1
wt	balancers	chr2L	9500000	2
wt	balancers	chr2L	10000000	2
wt	balancers	chr2L	10500000	4
wt	balancers	chr2L	11000000	6
wt	balancers	chr2L	11500000	4
wt	balancers	chr2L	12000000	3
wt	balancers	chr2L	12500000	2
wt	balancers	chr2L	13000000	1
wt	balancers	chr2L	13500000	1
wt	balancers	chr2L	14000000	1
wt	balancers	chr2L	14500000	1
wt	balancers	chr2L	15000000	1
wt	balancers	chr2L	15500000	1
wt	balancers	chr2L	16000000	1
wt	balancers	chr2L	16500000	1
wt	balancers	chr2L	17000000	1
wt	balancers	chr2L	17500000	2
wt	balancers	chr2L	18000000	2
wt	balancers	chr2L	18500000	1
wt	balancers	chr2L	19000000	0
wt	balancers	chr2L	19500000	1
wt	balancers	chr2L	20000000	2
wt	balancers	chr2L	20500000	3
wt	balancers	chr2L	21000000	3
wt	balancers	chr2L	21500000	2
wt	balancers	chr2L	22000000	0
wt	balancers	chr2L	22500000	1
wt	balancers	chr2L	23000000	1
wt	balancers	chr2L	23500000	0
wt	balancers	chr2R	1000000	0
wt	balancers	chr2R	1500000	0
wt	balancers	chr2R	2000000	0
wt	balancers	chr2R	2500000	0
wt	balancers	chr2R	3000000	0
wt	balancers	chr2R	3500000	0
wt	balancers	chr2R	4000000	0
wt	balancers	chr2R	4500000	0
wt	balancers	chr2R	5000000	1
wt	balancers	chr2R	5500000	1
wt	balancers	chr2R	6000000	1
wt	balancers	chr2R	6500000	1
wt	balancers	chr2R	7000000	1
wt	balancers	chr2R	7500000	4
wt	balancers	chr2R	8000000	3
wt	balancers	chr2R	8500000	1
wt	balancers	chr2R	9000000	1
wt	balancers	chr2R	9500000	1
wt	balancers	chr2R	10000000	1
wt	balancers	chr2R	10500000	2
wt	balancers	chr2R	11000000	2
wt	balancers	chr2R	11500000	4
wt	balancers	chr2R	12000000	4
wt	balancers	chr2R	12500000	3
wt	balancers	chr2R	13000000	3
wt	balancers	chr2R	13500000	2
wt	balancers	chr2R	14000000	1
wt	balancers	chr2R	14500000	1
wt	balancers	chr2R	15000000	2
wt	balancers	chr2R	15500000	2
wt	balancers	chr2R	16000000	2
wt	balancers	chr2R	16500000	4
wt	balancers	chr2R	17000000	3
wt	balancers	chr2R	17500000	1
wt	balancers	chr2R	18000000	2
wt	balancers	chr2R	18500000	3
wt	balancers	chr2R	19000000	2
wt	balancers	chr2R	19500000	2
wt	balancers	chr2R	20000000	2
wt	balancers	chr2R	20500000	1
wt	balancers	chr2R	21000000	1
wt	balancers	chr2R	21500000	0
wt	balancers	chr2R	22000000	0
wt	balancers	chr2R	22500000	0
wt	balancers	chr2R	23000000	0
wt	balancers	chr2R	23500000	2
wt	balancers	chr2R	24000000	3
wt	balancers	chr2R	24500000	2
wt	balancers	chr2R	25000000	2
wt	balancers	chr3L	1000000	2
wt	balancers	chr3L	1500000	3
wt	balancers	chr3L	2000000	3
wt	balancers	chr3L	2500000	1
wt	balancers	chr3L	3000000	0
wt	balancers	chr3L	3500000	2
wt	balancers	chr3L	4000000	3
wt	balancers	chr3L	4500000	2
wt	balancers	chr3L	5000000	1
wt	balancers	chr3L	5500000	1
wt	balancers	chr3L	6000000	3
wt	balancers	chr3L	6500000	3
wt	balancers	chr3L	7000000	2
wt	balancers	chr3L	7500000	2
wt	balancers	chr3L	8000000	1
wt	balancers	chr3L	8500000	0
wt	balancers	chr3L	9000000	2
wt	balancers	chr3L	9500000	2
wt	balancers	chr3L	10000000	1
wt	balancers	chr3L	10500000	1
wt	balancers	chr3L	11000000	1
wt	balancers	chr3L	11500000	2
wt	balancers	chr3L	12000000	2
wt	balancers	chr3L	12500000	1
wt	balancers	chr3L	13000000	1
wt	balancers	chr3L	13500000	1
wt	balancers	chr3L	14000000	0
wt	balancers	chr3L	14500000	1
wt	balancers	chr3L	15000000	1
wt	balancers	chr3L	15500000	0
wt	balancers	chr3L	16000000	1
wt	balancers	chr3L	16500000	3
wt	balancers	chr3L	17000000	3
wt	balancers	chr3L	17500000	1
wt	balancers	chr3L	18000000	0
wt	balancers	chr3L	18500000	1
wt	balancers	chr3L	19000000	2
wt	balancers	chr3L	19500000	4
wt	balancers	chr3L	20000000	2
wt	balancers	chr3L	20500000	1
wt	balancers	chr3L	21000000	3
wt	balancers	chr3L	21500000	2
wt	balancers	chr3L	22000000	1
wt	balancers	chr3L	22500000	2
wt	balancers	chr3L	23000000	3
wt	balancers	chr3L	23500000	1
wt	balancers	chr3L	24000000	0
wt	balancers	chr3L	24500000	0
wt	balancers	chr3L	25000000	0
wt	balancers	chr3L	25500000	0
wt	balancers	chr3L	26000000	0
wt	balancers	chr3L	26500000	0
wt	balancers	chr3L	27000000	0
wt	balancers	chr3L	27500000	0
wt	balancers	chr3L	28000000	0
wt	balancers	chr3R	1000000	0
wt	balancers	chr3R	1500000	0
wt	balancers	chr3R	2000000	0
wt	balancers	chr3R	2500000	0
wt	balancers	chr3R	3000000	0
wt	balancers	chr3R	3500000	0
wt	balancers	chr3R	4000000	0
wt	balancers	chr3R	4500000	0
wt	balancers	chr3R	5000000	1
wt	balancers	chr3R	5500000	2
wt	balancers	chr3R	6000000	2
wt	balancers	chr3R	6500000	2
wt	balancers	chr3R	7000000	2
wt	balancers	chr3R	7500000	1
wt	balancers	chr3R	8000000	1
wt	balancers	chr3R	8500000	1
wt	balancers	chr3R	9000000	1
wt	balancers	chr3R	9500000	3
wt	balancers	chr3R	10000000	3
wt	balancers	chr3R	10500000	1
wt	balancers	chr3R	11000000	0
wt	balancers	chr3R	11500000	1
wt	balancers	chr3R	12000000	1
wt	balancers	chr3R	12500000	1
wt	balancers	chr3R	13000000	1
wt	balancers	chr3R	13500000	1
wt	balancers	chr3R	14000000	1
wt	balancers	chr3R	14500000	2
wt	balancers	chr3R	15000000	1
wt	balancers	chr3R	15500000	1
wt	balancers	chr3R	16000000	1
wt	balancers	chr3R	16500000	1
wt	balancers	chr3R	17000000	0
wt	balancers	chr3R	17500000	2
wt	balancers	chr3R	18000000	3
wt	balancers	chr3R	18500000	2
wt	balancers	chr3R	19000000	2
wt	balancers	chr3R	19500000	1
wt	balancers	chr3R	20000000	2
wt	balancers	chr3R	20500000	2
wt	balancers	chr3R	21000000	2
wt	balancers	chr3R	21500000	1
wt	balancers	chr3R	22000000	1
wt	balancers	chr3R	22500000	3
wt	balancers	chr3R	23000000	2
wt	balancers	chr3R	23500000	1
